,osm_id,name,access,addr.city,addr.housenumber,addr.street,amenity,barrier,building,building.levels,capacity,capacity.disabled,fee,maxstay,name.es,operator,operator.type,parking,payment.cash,payment.credit_cards,payment.debit_cards,payment.mastercard,payment.visa,service,source,supervised,surface,wheelchair,area_m2,latitude,longitude,h3_address,distance.text,distance.value,duration.text,duration.value,duration_in_traffic.text,duration_in_traffic.value,status,co1_small,co2_small,co3_small,co4_small,co5_small,co1_medium,co2_medium,co3_medium,co4_medium,co5_medium,co1_large,co2_large,co3_large,co4_large,co5_large,cf1,cf2,cf3,cf4,cf5
0,144015370,Centro Comercial La Reina,yes,,,,parking,,,,,,,,,,,,,,,,,,,,paved,,1158.99628919646,-33.4401497558611,-70.5575322434507,88b2c50b5dfffff,34.7 km,34716,32 mins,1923,1 hour 15 mins,4512,OK,1132,1118,1098,1097,1918,1866,1481,1632,2591,1432,1784,1686,2445,1776,2740,10400,13637,46986,10067,12100
1,183347000,Municipalidad de Independencia,yes,,,,parking,,,,15.0,,,,Farmacia Municipal Dr. Carlos Lorca,,,surface,,,,,,,,,,,767.203740034782,-33.4222633336168,-70.654170301416,88b2c55451fffff,19.8 km,19843,21 mins,1279,56 mins,3367,OK,1043,1664,2055,1586,1008,2044,2592,1704,1927,1324,2283,3915,1622,1817,2146,28700,10848,12948,16176,10016
2,255805128,,yes,Pudahuel,,Avenida Teniente Cruz,parking,,,,,,no,,,,,surface,,,,,,,,no,,,778.431825082236,-33.437181917498,-70.7409737646329,88b2c55501fffff,7.2 km,7174,12 mins,726,27 mins,1611,OK,1009,1959,1336,1195,3395,1534,2096,1371,1363,1753,1690,1707,2316,2135,2687,19469,16984,23535,13312,11450
3,255805130,,yes,,,,parking,,,,,,no,,,,,surface,,,,,,,,no,,,810.596042051891,-33.4397945826027,-70.7408243226898,88b2c55501fffff,7.5 km,7464,13 mins,754,28 mins,1656,OK,2785,1074,2035,1347,1068,2289,1649,1472,1712,1615,1832,2220,2247,2426,1745,15424,16764,14994,11574,10530
4,255805131,,yes,Pudahuel,,Avenida Teniente Cruz,parking,,,,,,no,,,,,surface,,,,,,,,no,,,367.759020123088,-33.4408062533126,-70.7407395297295,88b2c55501fffff,5.7 km,5662,13 mins,794,27 mins,1627,OK,1026,1017,1611,1095,2025,1438,3576,1320,1527,1704,2562,1752,1629,1794,1633,13344,11400,14091,11533,13225
5,255805132,,yes,Pudahuel,,Avenida Teniente Cruz,parking,,,,,,no,,,,,surface,,,,,,,Reconocimiento cartográfico 2016 por KG.,no,,,275.347533423329,-33.4415510853261,-70.7406821085384,88b2c55501fffff,5.7 km,5745,13 mins,803,27 mins,1647,OK,1132,1383,1732,1501,1190,1469,2052,1907,1313,1549,3150,3374,1649,2166,1949,15696,11621,11579,20185,23766
6,272112665,,yes,,3233.0,Dublé Almeyda,parking,wall,,,,,yes,,,,,surface,,,,,,,Bing,,,,536.992496065206,-33.4569370878271,-70.5972504441829,88b2c50b67fffff,33.7 km,33711,30 mins,1820,1 hour 4 mins,3833,OK,1092,1442,1251,1206,1320,1587,1306,1415,1532,1507,1614,2378,2359,4221,1687,14730,12039,12874,13048,10519
7,273273842,,yes,,,,parking,,,,,,no,,,,,surface,,,,,,parking_aisle,,,,,463.557375657223,-33.4481233813468,-70.5805119004717,88b2c50b6bfffff,33.2 km,33187,30 mins,1771,1 hour 5 mins,3875,OK,1696,1320,1516,2180,2278,2579,1403,1479,1305,1366,1611,1604,3287,1873,2060,10238,16413,10161,30308,21823
8,278048435,,yes,,,,parking,,,,,,,,,Hospitl,public,surface,,,,,,,,,,,1197.04441962259,-33.5772391488726,-70.5818125847836,88b2c57341fffff,28.4 km,28381,28 mins,1686,55 mins,3294,OK,3318,1939,2022,1268,1071,2199,1805,2028,1463,2456,2167,1757,2295,1847,1690,10317,11274,14111,20379,16398
9,292333297,,yes,,,,parking,,,,20.0,,no,,,,,surface,,,,,,,,,,,493.311652652935,-33.4485267354666,-70.5805448210702,88b2c50b6bfffff,33.1 km,33131,29 mins,1752,1 hour 4 mins,3849,OK,1513,1741,1237,1993,1983,1673,1776,1466,1348,2250,2192,1601,1923,1673,1740,11864,17598,12006,10615,14285
10,292333298,,yes,,,,parking,,,,30.0,,no,,,,,surface,,,,,,,,,,,430.089204220069,-33.4487734384887,-70.5807951105763,88b2c50b6bfffff,33.1 km,33106,29 mins,1747,1 hour 4 mins,3841,OK,1124,1005,1128,1514,2398,1433,1867,1757,1321,1545,2658,2499,1722,1930,2300,10527,15865,15029,13130,19541
11,308975873,,yes,,,,parking,,,,,,no,,,,,,,,,,,,,,,,511.569089304497,-33.4519539900056,-70.6164776791881,88b2c554ddfffff,24.6 km,24618,30 mins,1799,1 hour 20 mins,4800,OK,1235,1091,2492,1165,1000,1512,1391,1789,1438,3232,2392,1671,1640,1749,1795,18787,11105,12572,16119,10589
12,320432120,,yes,,,,parking,,,,9.0,,no,,,,,surface,,,,,,,,no,,,157.192405306966,-33.487333718665,-70.663457677589,88b2c554a7fffff,16.7 km,16741,18 mins,1073,38 mins,2254,OK,1362,1732,1137,1085,1477,1715,1673,2181,2374,3190,2586,2214,2681,2314,1642,15598,11105,11848,14517,10232
13,363025783,Santa Isabel,yes,,,,parking,,,,,,no,,,,,surface,,,,,,,,,,,3954.65897463339,-33.5049993702369,-70.7800491620967,88b2c542bdfffff,10.6 km,10563,17 mins,1028,38 mins,2278,OK,1145,1034,1839,1589,1297,2042,2750,2342,1445,1373,2236,1656,2300,1964,1763,10365,15332,17624,11438,10757
14,449580382,Estacionamiento Express de Lider,yes,,,,parking,,,,,,,,,,,,,,,,,,,,,,426.079568935891,-33.4533034826185,-70.6227397420165,88b2c554ddfffff,25.1 km,25079,31 mins,1844,1 hour 22 mins,4944,OK,1176,1294,1500,2297,1611,1874,1432,1476,1473,2098,1801,2114,1836,1694,1756,10197,15276,12990,10347,13358
15,508568769,,yes,,,,parking,,,,,,yes,,,outlet vivo maipu gratuito,private,surface,,,,,,,,,asphalt,,10917.5417211505,-33.5223913976284,-70.7333680844434,88b2c5470dfffff,12.9 km,12934,14 mins,814,26 mins,1540,OK,1575,1090,1100,1823,1013,1733,2102,1305,1410,1823,2003,3375,2251,1878,1637,11517,11909,15838,12643,20947
16,521115611,,yes,,,,parking,,,,,,,,,,,,,,,,,,,,,,458.776949595491,-33.4495560155272,-70.6869296400987,88b2c55435fffff,10.8 km,10782,16 mins,944,36 mins,2148,OK,1241,1386,2953,1263,2069,1536,1546,1589,1465,1359,1944,1754,2844,1745,1864,27998,11640,22725,15868,14646
17,542846155,,yes,,,,parking,,,,23.0,3.0,no,,,,,surface,,,,,,,,,asphalt,,668.897541898973,-33.4040559482517,-70.6100968808595,88b2c556c7fffff,26.1 km,26108,46 mins,2742,1 hour 26 mins,5170,OK,1691,2008,1274,1433,1412,1742,3014,1894,1302,2163,1714,1749,1761,1600,2320,20266,10815,15431,12606,13175
18,549861589,,yes,,,,parking,,,,,,no,,,,,surface,,,,,,,,,,,939.474890723992,-33.4051189684203,-70.5970007295439,88b2c556ddfffff,25.2 km,25193,22 mins,1308,1 hour 10 mins,4216,OK,1086,1469,1701,1324,1609,2341,1964,2826,1709,1597,2072,1789,1725,1811,1825,11138,14578,12327,11538,11373
19,551078716,,yes,,,,parking,,,,,,,,,,,,,,,,,,,,cement,,3786.21284190009,-33.5604792629152,-70.6818953567949,88b2c54409fffff,20.0 km,20027,22 mins,1322,45 mins,2677,OK,1232,1423,1466,1266,1156,1454,2110,1936,3213,1414,1719,2032,1630,2017,1765,10435,16769,12966,11730,16122
20,551331548,,yes,,,,parking,,,,,,no,,,Estacionamiento BancoEstado,,surface,,,,,,,,,,,239.001081781488,-33.4315689468145,-70.5775682996838,88b2c50b4dfffff,29.6 km,29552,28 mins,1698,1 hour 23 mins,4998,OK,1056,1455,1449,1277,1227,1678,1679,1372,1596,1630,1776,1942,2088,3549,2119,10680,12649,13472,17220,12447
21,555782222,,yes,Peñalolén,8300.0,Calle 8,parking,,,,100.0,,no,1 day,,Parque de Peñalolen,,surface,,,,,,,,yes,asphalt,,3669.85442814007,-33.4666989698761,-70.5440943427406,88b2c50b1bfffff,34.4 km,34441,32 mins,1931,1 hour 10 mins,4192,OK,2337,1845,1090,1409,1330,1687,2658,3431,1349,1780,3402,2127,2410,1980,2364,21672,16647,15112,10702,10525
22,578703831,,yes,,,,parking,,,,10.0,,no,,,,,surface,,,,,,,,no,ground,,129.715872856036,-33.4825700542811,-70.5813486611783,88b2c50b35fffff,29.4 km,29398,26 mins,1551,46 mins,2788,OK,1297,1228,1044,1198,1474,1541,2304,1397,1478,1651,1726,2371,2381,1758,1695,17925,13659,15933,13789,12667
23,578703832,,yes,,,,parking,,,,6.0,,no,,,,,surface,,,,,,,,no,ground,,82.7996801828258,-33.4823545328006,-70.5812809570735,88b2c50b35fffff,29.4 km,29423,26 mins,1557,47 mins,2795,OK,1051,2251,1560,1563,1008,2579,2027,1876,1379,1873,1718,1740,2738,1602,1666,14532,11535,10473,12740,10714
24,578703837,,yes,,,,parking,,,,40.0,,no,,,,,surface,,,,,,,,no,ground,,862.204800747881,-33.4812878367716,-70.5805171897093,88b2c50b35fffff,30.1 km,30084,26 mins,1562,49 mins,2953,OK,2474,3379,1625,1143,1254,2029,2881,1930,2222,1483,2628,1873,3166,1693,2153,10316,11150,13291,12892,10179
