,GEOCODIGO,REGION,NOM_REGION,PROVINCIA,NOM_PROVIN,COMUNA,NOM_COMUNA,URBANO,DISTRITO,LOC_ZON,SHAPE_Leng,SHAPE_Area,area_m2,area_km2,lon,lat,Cantidad_Shops,Vel_promedio,demanda1,customer1,demanda2,customer2,demanda3,customer3,demanda4,customer4,demanda5,customer5
0,13101011001,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,1,1,0.02184580106,2.028273e-05,209278.931904335,0.209278931904335,-70.6422201647873,-33.4359225574466,0,15.8611357067822,165,54,229,63,237,70,118,74,160,54
1,13101011002,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,1,2,0.01737816475,9.7538e-06,100641.686709685,0.100641686709685,-70.6463452687831,-33.4349426423072,0,16.2501270610746,106,51,243,57,173,95,291,75,266,77
2,13101011003,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,1,3,0.02136020316,1.713611e-05,176808.439974268,0.176808439974268,-70.6388101649938,-33.4375858174355,0,18.5152507820546,184,72,113,82,119,131,139,65,129,51
3,13101011004,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,1,4,0.01726346177,1.700203e-05,175419.789689636,0.175419789689636,-70.6444411714785,-33.4401841573506,0,14.3809720064451,215,62,110,50,144,68,111,66,164,66
4,13101011005,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,1,5,0.01219782342,6.10278e-06,62967.7596838393,0.0629677596838393,-70.6455223202483,-33.4376432161874,0,12.8833850170505,166,65,139,89,172,56,116,73,143,85
5,13101021001,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,2,1,0.02911884048,2.222905e-05,229368.829599636,0.229368829599636,-70.6542744154679,-33.4330155274051,0,19.3290394448027,143,78,123,57,102,89,151,52,226,63
6,13101021002,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,2,2,0.0072678765,3.07583e-06,31736.3870117573,0.0317363870117573,-70.6563406164218,-33.4367669737663,0,10.0104985237642,150,54,258,53,101,51,129,63,254,69
7,13101021003,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,2,3,0.00748914887,3.38654e-06,34942.3419551028,0.0349423419551028,-70.6549082632371,-33.4366289704254,0,10.5915545889003,155,75,231,59,322,58,142,54,141,68
8,13101021004,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,2,4,0.01585881171,1.460755e-05,150724.136968325,0.150724136968325,-70.6521062150777,-33.4346829991329,5,10.4967548066148,127,61,160,84,174,51,102,51,100,65
9,13101021005,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,2,5,0.0300039494,5.111974e-05,527425.726277895,0.527425726277895,-70.651594871899,-33.4411866543149,7,9.7247894063305,221,88,114,68,118,74,228,96,138,57
